city,state,geoid,portal_cameras,osm_flock_in_limits,ratio,population,median_income,pct_black,pct_hispanic,portal_updated
Richmond,VA,5167000,103,128,1.2427184466019416,227171.0,59606.0,43.743259482944566,7.618049839107985,2026-09-23
Ridgecrest,CA,0660704,24,30,1.25,28118.0,85872.0,3.5457713919908955,21.7262963226403,2026-09-22
Rio Vista,CA,0660984,9,4,0.4444444444444444,10074.0,83538.0,11.276553504069883,20.001985308715504,2026-09-23
River Falls,WI,5568275,9,0,0.0,16165.0,72247.0,0.7856480049489638,2.3074543767398703,2026-09-22
River Grove,IL,1764343,8,12,1.5,10532.0,72466.0,0.0284846183061147,34.58982149639195,2026-09-23
Riverwoods,IL,1764538,6,4,0.6666666666666666,4007.0,233036.0,1.7718991764412277,5.041177938607437,2026-09-23
Roanoke,VA,5168000,5,31,6.2,99213.0,51523.0,28.719018676987893,6.892241944100068,2026-09-22
Roanoke Rapids,NC,3756900,16,11,0.6875,15143.0,45732.0,33.9893019877171,5.9961698474542695,2026-09-23
Rockport,TX,4862804,6,7,1.1666666666666667,10265.0,62394.0,0.3604481246955675,26.03994154895275,2026-09-23
Rockwood,TN,4764440,4,2,0.5,5468.0,43309.0,0.3840526700804682,1.1887344550109729,2026-09-23
Rocky Mount,VA,5168496,4,6,1.5,4916.0,58678.0,26.444263628966638,2.9902359641985354,2026-09-22
Rogers,MN,2755186,10,10,1.0,13283.0,154611.0,1.1367913874877664,1.0163366709327712,2026-09-22
Rolling Meadows,IL,1765338,11,11,1.0,24054.0,91287.0,3.172029600066517,26.66084642886838,2026-09-22
Rome,GA,1366668,32,21,0.65625,37621.0,48512.0,24.443794689136386,21.004226362935594,2026-09-23
Roseburg,OR,4163650,15,16,1.0666666666666667,23657.0,50297.0,0.14794775330768906,6.023587098955912,2026-09-22
Roselle,IL,1765806,12,10,0.8333333333333334,22846.0,104167.0,0.9016895736671627,9.257638098573054,2026-09-22
Roseville,MN,2755852,10,10,1.0,36066.0,87702.0,8.015859812565852,4.940941607053735,2026-09-22
Rossford,OH,3968686,20,15,0.75,6314.0,74886.0,0.7918910357934749,4.38707633829585,2026-09-23
Rossville,GA,1367256,3,1,0.3333333333333333,3982.0,42845.0,8.638874937217478,3.365143144148669,2026-06-01
Roswell,GA,1367284,99,126,1.2727272727272727,92770.0,122924.0,11.401315080306134,16.14853939851245,2026-09-23
Round Lake Park,IL,1766066,6,4,0.6666666666666666,7778.0,56097.0,1.671380817690923,47.570069426587814,2026-09-23
Round Rock,TX,4863500,63,91,1.4444444444444444,120465.0,91888.0,10.661187896899515,28.113559955173702,2026-09-23
Roxboro,NC,3758160,6,6,1.0,8131.0,39787.0,34.62058787357029,6.407575943918337,2026-09-23
Russellville,AR,0561670,24,21,0.875,28946.0,43669.0,4.674220963172805,16.858978788088166,2026-09-23
Saginaw,TX,4864112,20,23,1.15,24106.0,99752.0,7.272048452667386,39.230896872148016,2026-09-22
St. Croix Falls,WI,5570550,3,2,0.6666666666666666,2268.0,61840.0,0.0,2.4691358024691357,2026-09-23
St. Johns,AZ,0462350,16,8,0.5,3419.0,83690.0,6.0251535536706635,36.99912255045335,2026-09-22
St. Louis Park,MN,2757220,16,32,2.0,49500.0,94263.0,5.151515151515151,4.977777777777778,2026-09-23
Salisbury,MD,2469925,29,47,1.6206896551724137,32960.0,53309.0,39.699635922330096,5.203276699029126,2026-09-22
San Angelo,TX,4864472,30,42,1.4,99422.0,65040.0,4.158033433244151,44.15219971434894,2026-09-22
San Bernardino,CA,0665000,28,42,1.5,221041.0,61323.0,11.543107387317285,67.47752679367176,2026-09-23
San Bruno,CA,0665028,70,47,0.6714285714285714,43218.0,131669.0,1.0412328196584757,29.494655004859087,2026-09-22
San Diego,CA,0666000,500,100,0.2,1383987.0,98657.0,5.5634193095744395,30.10360646451159,2026-09-22
San Francisco,CA,0667000,483,459,0.9503105590062112,851036.0,136689.0,4.927406126180326,15.453752837717794,2026-09-23
San Gabriel,CA,0667042,20,22,1.1,39211.0,84056.0,1.1374359235928693,26.518068909234653,2026-09-22
San Jose,CA,0668000,516,575,1.1143410852713178,1001176.0,136010.0,2.7632504175090093,30.794485684834633,2026-09-22
San Juan Bautista,CA,0668014,9,4,0.4444444444444444,1976.0,103036.0,0.9109311740890689,54.30161943319838,2026-09-22
San Leandro,CA,0668084,86,93,1.0813953488372092,89723.0,97141.0,10.10331798981309,28.26922862588188,2026-09-22
San Marcos,TX,4865600,3,17,5.666666666666667,67143.0,47394.0,5.690838955661796,41.88671938995874,2026-09-22
San Marino,CA,0668224,40,39,0.975,12442.0,174253.0,0.5063494615013664,6.357498794406044,2026-09-22
San Mateo,CA,0668252,66,76,1.1515151515151516,104165.0,149152.0,1.8566697067153075,24.7136754188067,2026-09-23
San Rafael,CA,0668364,22,31,1.4090909090909092,60891.0,113839.0,1.638994268446897,32.495771132022796,2026-09-22
Sand Springs,OK,4065300,6,10,1.6666666666666667,19925.0,70431.0,1.6260978670012547,5.39021329987453,2026-09-22
Santa Ana,CA,0669000,24,27,1.125,311379.0,84210.0,0.9303774499885991,77.01996602211453,2026-09-22
Santa Barbara,CA,0669070,12,12,1.0,88640.0,98346.0,1.1777978339350181,36.1067238267148,2026-08-20
Santa Clara,CA,0669084,55,79,1.4363636363636363,128058.0,165352.0,2.2318012150744195,15.261834481250684,2026-09-23
Santa Maria,CA,0669196,155,153,0.9870967741935484,109543.0,81237.0,1.1675780287193156,77.7548542581452,2026-09-22
Santa Paula,CA,0670042,12,13,1.0833333333333333,30788.0,72014.0,0.5554111991685072,81.7136546706509,2026-09-23
Santa Rosa,CA,0670098,142,213,1.5,178221.0,92604.0,1.6423429337732367,33.95503335746068,2026-09-22
Saratoga Springs,NY,3665255,12,11,0.9166666666666666,28505.0,97241.0,3.0871776881248905,4.300999824592177,2026-09-23
Sartell,MN,2758612,8,6,0.75,19382.0,74177.0,1.9760602620988545,2.213393870601589,2026-09-23
Sausalito,CA,0670364,12,13,1.0833333333333333,7233.0,163170.0,0.2488593944421402,8.502695976773124,2026-09-23
Savannah,GA,1369000,105,118,1.1238095238095238,147583.0,54748.0,51.74376452572451,6.446541945888076,2026-09-23
Scottsbluff,NE,3144245,8,7,0.875,14454.0,55744.0,0.51196900511969,29.860246298602462,2026-09-23
Scottsville,VA,5170800,4,3,0.75,571.0,52206.0,20.665499124343256,0.0,2026-09-22
Seaside,CA,0670742,30,32,1.0666666666666667,32291.0,80239.0,5.880895605586696,44.60066272335945,2026-09-22
SeaTac,WA,5362288,30,34,1.1333333333333333,30927.0,79433.0,23.856177450124488,21.098069647880493,2026-09-22
Sedalia,MO,2966440,11,12,1.0909090909090908,21767.0,48518.0,4.44709881931364,13.814489824045573,2026-09-22
Seelyville,IN,1868652,2,2,1.0,907.0,53750.0,0.0,9.48180815876516,2026-09-22
Selah,WA,5363280,16,16,1.0,8203.0,66843.0,0.8899183225649153,27.550896013653542,2026-09-23
Seneca,SC,4565095,4,3,0.75,8834.0,48108.0,18.474077428118633,7.652252660176591,2026-09-23
Sevierville,TN,4767120,17,26,1.5294117647058822,17986.0,49449.0,1.1675747803847436,18.025130657177804,2026-09-22
Shaker Heights,OH,3971682,18,11,0.6111111111111112,29157.0,96494.0,35.432314710018176,3.4365675481016567,2026-09-23
Sharon,WI,5572875,3,2,0.6666666666666666,1601.0,60000.0,0.6870705808869456,28.419737663960024,2026-09-23
Sharpsburg,NC,3761060,3,0,0.0,1504.0,35521.0,58.111702127659576,0.0,2026-09-23
Shelby,MI,2672840,65,0,0.0,2520.0,51316.0,2.3015873015873014,51.62698412698413,2026-09-22
Shelton,WA,5363735,12,10,0.8333333333333334,10484.0,57907.0,0.7439908431896223,25.572300648607403,2026-09-22
Shenandoah,VA,5171776,4,1,0.25,3020.0,64410.0,1.6225165562913908,10.562913907284768,2026-08-20
Sherwood,AR,0563800,16,15,0.9375,32715.0,74917.0,27.815986550511997,2.674614091395384,2026-09-22
Shrewsbury,MO,2967700,8,14,1.75,6352.0,82681.0,8.705919395465996,1.2437027707808563,2026-09-23
Sidney,OH,3972424,19,17,0.8947368421052632,20350.0,63851.0,4.407862407862408,2.6535626535626538,2026-09-22
Siloam Springs,AR,0564370,12,18,1.5,17632.0,59911.0,0.890426497277677,24.597323049001815,2026-09-23
Silverthorne,CO,0870525,1,8,8.0,4550.0,97558.0,0.0,20.52747252747253,2026-09-23
Simi Valley,CA,0672016,26,37,1.4230769230769231,126153.0,112144.0,0.9464697629069463,26.150785157705325,2026-09-23
Sioux City,IA,1973335,12,27,2.25,85469.0,64250.0,5.108284875217915,21.36915138822263,2026-09-23
Sioux Falls,SD,4659020,34,47,1.3823529411764706,193401.0,71785.0,6.739365360055015,5.708346906169048,2026-09-23
Slinger,WI,5574400,5,3,0.6,6055.0,92984.0,0.0,2.939719240297275,2026-09-22
Smithfield,NC,3762520,8,10,1.25,11527.0,37000.0,28.871345536566324,17.64552789103843,2026-07-22
Smithfield,VA,5173200,17,17,1.0,8625.0,101081.0,21.75072463768116,5.379710144927536,2026-09-23
Smyrna,GA,1371492,58,86,1.4827586206896552,55863.0,92258.0,32.611925603709075,11.200615792205932,2026-09-23
Snellville,GA,1371604,77,44,0.5714285714285714,20895.0,88586.0,39.191194065565924,13.376405838717396,2026-09-22
South Gate,CA,0673080,2,13,6.5,92381.0,67188.0,0.8270098829845964,95.25118801485154,2026-09-23
South Hill,VA,5173904,8,4,0.5,4683.0,56250.0,47.57633995302157,6.705103566090113,2026-09-22
South Lyon,MI,2675100,2,2,1.0,11788.0,82753.0,0.9161859518154055,2.9606379368849676,2026-09-23
South Pasadena,CA,0673220,13,20,1.5384615384615385,26583.0,127882.0,3.460858443366061,18.161983222360156,2026-09-22
South St. Paul,MN,2761492,9,8,0.8888888888888888,20598.0,82644.0,4.2965336440431106,16.506456937566753,2026-09-22
South San Francisco,CA,0673262,37,47,1.2702702702702702,65596.0,127062.0,1.865967437038844,29.148118787730958,2026-09-23
South Sioux City,NE,3146030,35,16,0.45714285714285713,13835.0,62650.0,10.639681966028188,48.61582941814239,2026-09-23
South Tucson,AZ,0468850,10,3,0.3,4642.0,34014.0,3.4037052994398964,71.86557518311074,2026-09-23
Southern Shores,NC,3763130,12,12,1.0,3098.0,112371.0,2.001291155584248,0.2905100064557779,2026-09-23
Spanish Fork,UT,4971290,8,13,1.625,42694.0,93989.0,0.5644821286363424,11.980606174169672,2026-09-23
Sparks,NV,3268400,61,62,1.0163934426229508,108025.0,82938.0,1.7366350381856053,34.186530895626014,2026-09-22
Sparta,TN,4770180,3,3,1.0,4950.0,42670.0,5.898989898989899,4.929292929292929,2026-09-22
Spring Hill,TN,4770580,12,14,1.1666666666666667,51319.0,104880.0,4.43305598316413,7.556655429762856,2026-09-22
Spring Lake Park,MN,2761996,2,5,2.5,6966.0,74697.0,6.890611541774333,12.4031007751938,2026-09-23
Springdale,AR,0566080,154,30,0.19480519480519481,86705.0,59985.0,3.33083443861369,38.780923822155586,2026-09-23
Springdale,OH,3974104,12,14,1.1666666666666667,10991.0,70405.0,38.12209989991811,13.183513784005095,2026-09-22
Springfield,FL,1268275,7,6,0.8571428571428571,8295.0,52188.0,14.5750452079566,6.799276672694394,2026-09-22
Springfield,IL,1772000,141,121,0.8581560283687943,114214.0,62419.0,20.10348993993731,3.102071549897561,2026-09-23
Springfield,MO,2970000,41,62,1.5121951219512195,168873.0,43450.0,4.2457941766889915,4.593984828835871,2026-09-22
Springfield,OH,3974118,38,43,1.131578947368421,58645.0,45113.0,17.36038877994714,4.933071873134964,2026-09-22
St. Anthony,ID,1671020,10,6,0.6,3730.0,44313.0,0.2949061662198391,16.380697050938338,2026-09-23
St. Augustine,FL,1262500,8,17,2.125,14642.0,72806.0,4.808086327004507,8.735145471930064,2026-09-23
St. Charles,IL,1766703,10,24,2.4,32776.0,110346.0,3.4659506956309496,9.635098852819135,2026-09-23
St. Clairsville,OH,3969526,4,1,0.25,5085.0,71732.0,2.1828908554572273,3.421828908554572,2026-09-23
St. Cloud,MN,2756896,5,12,2.4,68910.0,58910.0,18.035118270207516,4.073429110433899,2026-09-23
St. Helena,CA,0664140,4,3,0.75,5426.0,135781.0,0.4976041282712864,23.05565794323627,2026-09-23
St. Joseph,MO,2964550,23,43,1.8695652173913044,72198.0,54515.0,6.669159810521067,7.771683426133688,2026-09-23
St. Pauls,NC,3758720,4,1,0.25,2261.0,36490.0,25.342768686421937,32.5077399380805,2026-09-23
St. Peters,MO,2965126,11,41,3.727272727272727,57692.0,88708.0,5.206961103792554,2.4301462941135688,2026-09-23
Stanley,VA,5175024,4,4,1.0,1811.0,42976.0,0.16565433462175594,1.7117614577581446,2026-09-22
Stanwood,WA,5367455,13,13,1.0,8051.0,85357.0,0.0,1.9252266799155384,2026-09-22
Sterling Heights,MI,2676460,24,27,1.125,133744.0,75381.0,5.842505084340232,2.018034453882043,2026-09-23
Sterling,IL,1772546,11,10,0.9090909090909091,14852.0,49007.0,1.932399676811204,26.629410180447078,2026-09-23
Stillwater,MN,2762824,17,24,1.411764705882353,19316.0,107986.0,2.8422033547318284,6.642161938289501,2026-09-22
Stockton,CA,0675000,147,142,0.9659863945578231,320030.0,71612.0,11.12770677748961,45.224197731462674,2026-09-22
Stoughton,WI,5577675,4,0,0.0,13091.0,73014.0,0.9777709877014743,2.7194255595447254,2026-09-23
Strasburg,VA,5176000,5,3,0.6,7104.0,56244.0,5.22240990990991,6.151463963963964,2026-09-22
Streator,IL,1773170,14,5,0.35714285714285715,12279.0,46615.0,3.3146021663001872,17.71316882482287,2026-09-22
Suffolk,VA,5176432,267,134,0.50187265917603,94856.0,87758.0,41.029560597115626,4.820991819178544,2026-09-22
Sugar Grove,IL,1773391,7,7,1.0,9251.0,118628.0,5.848016430656145,9.177386228515836,2026-09-22
Suisun City,CA,0675630,29,17,0.5862068965517241,29350.0,95394.0,21.049403747870528,30.156729131175467,2026-09-23
Sultan,WA,5368260,6,4,0.6666666666666666,5462.0,79084.0,0.8604906627608935,22.83046503112413,2026-09-22
Summerset,SD,4662155,5,5,1.0,2950.0,98194.0,0.06779661016949153,1.11864406779661,2026-09-23
Sumner,WA,5368435,12,11,0.9166666666666666,10589.0,83285.0,0.849938615544433,17.952592312777412,2026-09-23
Sun Prairie,WI,5578600,9,10,1.1111111111111112,35847.0,90384.0,7.671492733004157,4.577788936312662,2026-09-22
Sunnyside,WA,5368750,46,27,0.5869565217391305,16329.0,49134.0,0.0,86.07998040296405,2026-09-22
Sunnyvale,CA,0677000,20,30,1.5,154573.0,174506.0,1.1528533443745026,16.687907978754374,2026-09-23
Sunset Valley,TX,4871324,11,14,1.2727272727272727,562.0,141250.0,0.8896797153024911,17.615658362989326,2026-09-04
Surf City,NC,3766040,4,9,2.25,3888.0,85714.0,3.883744855967078,5.73559670781893,2026-09-23
Surfside Beach,SC,4570585,14,6,0.42857142857142855,4179.0,69375.0,1.531466858100024,0.574300071787509,2026-09-23
Sylvania,OH,3976022,16,19,1.1875,19042.0,86048.0,1.5544585652767566,2.7623148828904527,2026-09-23
Tabor City,NC,3766520,1,0,0.0,3709.0,34722.0,42.14073874359666,9.787004583445672,2026-09-23
Tallahassee,FL,1270600,80,131,1.6375,198259.0,52899.0,35.156033269611974,7.354016715508502,2026-09-22
Tappahannock,VA,5177568,6,3,0.5,1919.0,40703.0,47.524752475247524,1.771756122980719,2026-09-22
Taylor,MI,2679000,77,54,0.7012987012987013,62937.0,59352.0,20.137597915375693,7.658452102896548,2026-09-22
Taylor,TX,4871948,8,11,1.375,16449.0,66626.0,7.891057207125053,42.7989543437291,2026-09-23
Tega Cay,SC,4571417,9,4,0.4444444444444444,12816.0,140172.0,3.9169787765293385,11.891385767790263,2026-09-23
Telluride,CO,0876795,2,2,1.0,2622.0,81429.0,0.0,9.763539282990084,2026-09-23
Tempe,AZ,0473000,33,91,2.757575757575758,181005.0,72022.0,6.94953178089003,23.47835695146543,2026-09-22
Temple,GA,1375832,4,3,0.75,5395.0,71917.0,17.868396663577386,3.5959221501390175,2026-09-22
Temple,TX,4872176,216,179,0.8287037037037037,83473.0,61003.0,12.734656715345082,28.810513579241192,2026-09-22
Terre Haute,IN,1875428,46,65,1.4130434782608696,58599.0,41230.0,10.885851294390688,3.84818853564054,2026-09-23
Texarkana,AR,0568810,8,9,1.125,29404.0,45233.0,34.71976601822881,4.608216569174262,2026-09-22
Texarkana,TX,4872368,11,13,1.1818181818181819,36156.0,48054.0,38.10985728509791,9.320721318729948,2026-09-22
The Colony,TX,4872530,21,38,1.8095238095238095,44323.0,106518.0,10.418969835074341,21.156058931029037,2026-09-23
Thomasville,GA,1376224,42,24,0.5714285714285714,18744.0,45789.0,55.367050789586,1.8405889884763125,2026-09-23
Thornton,CO,0877290,16,31,1.9375,141799.0,95064.0,1.9725103844173795,37.322548113879506,2026-09-23
Thunderbolt,GA,1376364,2,2,1.0,2552.0,63148.0,38.009404388714735,1.371473354231975,2026-09-23
Tiburon,CA,0678666,10,7,0.7,9115.0,200886.0,0.5924300603400987,3.477783872737246,2026-09-23
Timberville,VA,5178736,5,3,0.6,2966.0,54646.0,0.9103169251517195,13.047875927174646,2026-09-23
Timnath,CO,0877510,7,5,0.7142857142857143,7122.0,162976.0,0.0,1.3338949733221006,2026-09-22
Toledo,OH,3977000,115,188,1.6347826086956523,269962.0,45405.0,27.74464554270601,8.918292204087983,2026-09-23
Tonawanda,NY,3674166,13,0,0.0,15096.0,59532.0,0.3444621091679915,2.3251192368839426,2026-09-23
Toppenish,WA,5371960,25,29,1.16,8820.0,64327.0,0.09070294784580499,90.51020408163265,2026-09-23
Tracy,CA,0680238,175,90,0.5142857142857142,94027.0,111717.0,5.513310006700203,40.97865506716156,2026-09-22
Travelers Rest,SC,4572430,8,23,2.875,7929.0,44375.0,16.458569807037456,4.578130911842603,2026-09-23
Trophy Club,TX,4873710,10,8,0.8,13251.0,183125.0,0.5659950192438307,11.214247981284432,2026-09-23
Troutman,NC,3768500,15,7,0.4666666666666667,3689.0,74219.0,18.216318785578746,5.855245323936026,2026-09-23
Troy,MI,2680700,27,31,1.1481481481481481,87170.0,115639.0,3.981874498107147,2.5972238155328666,2026-09-23
Troy,OH,3977588,13,17,1.3076923076923077,26494.0,69730.0,3.3290556352381673,2.8647995772627763,2026-09-22
Truckee,CA,0680588,25,23,0.92,16784.0,107423.0,0.14895138226882745,14.781935176358436,2026-09-23
Tukwila,WA,5372625,29,38,1.3103448275862069,21569.0,76331.0,17.038342065000695,22.22170707960499,2026-09-23
Tulare,CA,0680644,8,13,1.625,69261.0,65933.0,2.7100388385960352,62.974834322345906,2026-09-22
Twin Falls,ID,1682810,40,46,1.15,52315.0,58024.0,0.8334129790691006,15.07980502723884,2026-09-23
Twinsburg,OH,3978050,14,16,1.1428571428571428,19291.0,91554.0,17.049401275206055,2.851070447358872,2026-09-22
Hallettsville,TX,4831868,9,2,0.2222222222222222,2729.0,47090.0,24.954195676071823,22.75558812751924,2026-09-23
Liberty,TX,4842568,9,9,1.0,8348.0,57962.0,8.936272160996646,30.007187350263536,2026-09-23
Ukiah,CA,0681134,14,15,1.0714285714285714,16496.0,62934.0,0.30916585838991273,36.3421435499515,2026-09-23
Union Gap,WA,5373290,15,13,0.8666666666666667,6512.0,55667.0,0.0,50.537469287469285,2026-09-22
Universal City,TX,4874408,12,12,1.0,19798.0,71287.0,10.667744216587534,40.98393777149207,2026-09-23
Upland,CA,0681344,12,30,2.5,78847.0,93994.0,6.493588849290398,43.723921011579385,2026-09-22
Upper Arlington,OH,3979002,20,16,0.8,36500.0,144705.0,0.9205479452054794,3.1315068493150684,2026-09-22
Urbandale,IA,1979950,28,29,1.0357142857142858,45591.0,111888.0,4.3319953499594215,5.740168015617117,2026-09-23
Cedar City,UT,4911320,44,40,0.9090909090909091,35812.0,60778.0,1.206299564391824,13.579247179716296,2026-09-23
Vacaville,CA,0681554,260,92,0.35384615384615387,101631.0,106764.0,8.264210723106139,26.095384282354793,2026-09-23
Vail,CO,0880040,5,3,0.6,4833.0,96667.0,0.0,3.45541071798055,2026-09-22
Vallejo,CA,0681666,97,103,1.0618556701030928,125132.0,86112.0,17.84195889141067,29.258702809832815,2026-09-22
Vernon Hills,IL,1777694,34,22,0.6470588235294118,26750.0,117253.0,1.6,11.94392523364486,2026-09-22
Vienna,VA,5181072,4,10,2.5,16401.0,215556.0,5.097250167672703,8.408023900981647,2026-09-22
Bloomingdale,IL,1706587,17,13,0.7647058823529411,22435.0,96779.0,4.542010251838645,11.508803209271228,2026-09-22
Pingree Grove,IL,1759988,14,11,0.7857142857142857,10213.0,106597.0,12.944286693429943,15.470478801527465,2026-09-22
Virginia Beach,VA,5182000,94,202,2.148936170212766,457900.0,87544.0,18.242847783358812,8.765887748416684,2026-09-22
Visalia,CA,0682954,13,36,2.769230769230769,141466.0,75658.0,2.2394073487622466,52.48823038751361,2026-09-23
Wadsworth,OH,3980304,15,21,1.4,24073.0,72325.0,1.7446932247746438,1.524529555934034,2026-09-23
Walker,MI,2682960,7,10,1.4285714285714286,25175.0,72020.0,2.8123138033763655,5.227408142999007,2026-09-22
Wapakoneta,OH,3980766,7,8,1.1428571428571428,9879.0,63008.0,0.516246583662314,5.081485980362385,2026-09-22
Warner Robins,GA,1380508,123,39,0.3170731707317073,80374.0,63678.0,40.25804364595516,6.987334212556299,2026-09-23
Warr Acres,OK,4078500,6,4,0.6666666666666666,10424.0,54221.0,12.874136607828088,36.108979278587874,2026-09-22
Warren,OH,3980892,21,20,0.9523809523809523,39204.0,33296.0,27.647689011325376,3.6628915416794205,2026-09-22
Warrenton,MO,2977128,4,3,0.75,8648.0,62096.0,1.2719703977798336,6.556429232192414,2026-09-23
Warrenville,IL,1778929,14,16,1.1428571428571428,13945.0,95919.0,4.0014342058085335,21.269272140552168,2026-09-23
Warwick,RI,4474300,11,19,1.7272727272727273,82783.0,81009.0,2.674462148025561,6.364833359506179,2026-09-23
Washington,IA,1982335,8,7,0.875,7329.0,56399.0,1.1734206576613453,10.601719197707736,2026-09-23
Watauga,TX,4876672,16,16,1.0,23509.0,88775.0,7.546046195074227,27.061976264409374,2026-09-23
Waterville,OH,3981858,5,4,0.8,5980.0,101473.0,0.451505016722408,7.54180602006689,2026-09-23
Watsonville,CA,0683668,33,48,1.4545454545454546,52457.0,72295.0,0.3907962712316755,82.56286100997006,2026-09-23
Wauconda,IL,1779267,3,0,0.0,14040.0,108229.0,0.6196581196581197,17.742165242165242,2026-09-23
Waukee,IA,1982695,11,10,0.9090909090909091,25045.0,106846.0,3.4018766220802554,4.847274905170693,2026-09-23
Waupaca,WI,5584375,4,3,0.75,6294.0,56076.0,1.1280584683825865,2.9551954242135365,2026-09-22
Wausau,WI,5584475,20,21,1.05,39906.0,59259.0,0.7091665413722247,4.713576905728462,2026-09-23
Waxhaw,NC,3771460,7,29,4.142857142857143,20665.0,124711.0,8.028066779578998,10.152431647713525,2026-09-23
Wayzata,MN,2768818,11,9,0.8181818181818182,4365.0,118456.0,0.7789232531500573,3.207331042382589,2026-09-23
Webster Groves,MO,2978154,6,7,1.1666666666666667,23838.0,105930.0,3.7628995721117544,3.2846715328467155,2026-09-22
Webster,TX,4876948,62,53,0.8548387096774194,12297.0,58555.0,13.629340489550296,32.41441001870375,2026-09-23
Wellington,KS,2076475,4,4,1.0,7710.0,48333.0,1.608300907911803,10.830090791180286,2026-09-22
Wentzville,MO,2978442,27,38,1.4074074074074074,44584.0,109158.0,5.894491297326395,3.0055625336443565,2026-09-22
West Covina,CA,0684200,41,45,1.0975609756097562,108173.0,96219.0,4.114705148234772,53.15929113549592,2026-09-23
West Des Moines,IA,1983910,57,62,1.087719298245614,68744.0,82345.0,4.387291981845689,5.673222390317701,2026-09-23
West Lafayette,IN,1882862,4,11,2.75,44861.0,30317.0,3.6156126702480997,4.857225652571276,2026-09-22
West Melbourne,FL,1276500,14,26,1.8571428571428572,26762.0,86398.0,3.923473581944548,14.404753007996414,2026-09-23
West Milton,OH,3983902,2,1,0.5,4717.0,56643.0,0.0,0.6147975408098367,2026-09-23
West Sacramento,CA,0684816,32,39,1.21875,54163.0,87044.0,4.418145228292377,33.6853571626387,2026-09-22
Westminster,CA,0684550,26,24,0.9230769230769231,90638.0,80271.0,0.7513404973631369,24.147708466647543,2026-09-23
Westminster,SC,4576165,4,2,0.5,2215.0,40750.0,8.442437923250564,4.288939051918736,2026-09-23
Weyauwega,WI,5586400,1,1,1.0,1857.0,61316.0,0.0,2.046311254711901,2026-09-23
White Settlement,TX,4878544,14,21,1.5,18106.0,52999.0,5.661106815420303,35.89970175632387,2026-09-22
Whitehall,OH,3984742,32,12,0.375,20035.0,47879.0,41.297728974294984,10.147242325929623,2026-09-23
Whitestown,IN,1884014,9,14,1.5555555555555556,10253.0,113000.0,4.847361747781137,2.535843167853311,2026-09-23
Whiteville,NC,3773660,9,5,0.5555555555555556,4761.0,34121.0,44.801512287334596,0.33606385213190504,2026-09-22
Whitewater,WI,5586925,13,12,0.9230769230769231,15725.0,46135.0,3.5930047694753577,9.812400635930048,2026-09-22
Wichita,KS,2079000,191,364,1.905759162303665,395951.0,60712.0,9.685794454364302,17.56252667628065,2026-09-23
Wilkesboro,NC,3774020,4,7,1.75,3674.0,43480.0,7.7844311377245505,8.247142079477408,2026-09-23
Williams,CA,0685586,3,2,0.6666666666666666,5539.0,84457.0,0.07221520129987362,87.39844737317205,2026-09-22
Williamsburg,VA,5186160,32,41,1.28125,15486.0,66815.0,15.16208188040811,7.677902621722846,2026-09-23
Willits,CA,0685600,4,3,0.75,4968.0,45592.0,0.7045088566827697,22.86634460547504,2026-09-22
Willmar,MN,2770420,13,7,0.5384615384615384,21006.0,59132.0,11.420546510520804,23.869370656003046,2026-09-23
Willowbrook,IL,1781919,17,18,1.0588235294117647,9177.0,95649.0,2.9748283752860414,7.224583197123243,2026-09-23
Wilmette,IL,1782075,22,25,1.1363636363636365,27801.0,183750.0,0.3812812488759397,3.8559764037264848,2026-09-23
Wilmington,OH,3985792,17,18,1.0588235294117647,12669.0,48407.0,4.704396558528692,2.9205146420396244,2026-09-23
Winchester,IN,1884752,13,4,0.3076923076923077,4654.0,60022.0,0.17189514396218306,1.4181349376880104,2026-09-23
Windsor,CO,0885485,15,18,1.2,33905.0,121754.0,0.5014009733077717,7.715676153959593,2026-09-23
Winston,OR,4183400,5,1,0.2,5618.0,51182.0,0.1245995016019936,15.290138839444642,2026-09-22
Winters,CA,0686034,9,5,0.5555555555555556,7270.0,128679.0,0.4264099037138927,48.940852819807425,2026-09-23
Wisconsin Rapids,WI,5588200,6,8,1.3333333333333333,18783.0,51186.0,1.0488207421604643,4.051535963371133,2026-09-23
Wolverine Lake,MI,2688260,3,2,0.6666666666666666,4493.0,85195.0,0.7344758513242822,3.983975072334743,2026-09-22
Woodland,CA,0686328,38,47,1.236842105263158,61227.0,84494.0,1.5777353128521732,49.57453411076813,2026-09-23
Woodridge,IL,1783245,23,18,0.782608695652174,34027.0,95756.0,10.788491492050431,15.702236459282334,2026-09-22
Woodstock,GA,1384176,8,17,2.125,35171.0,100913.0,11.810866907395297,9.948537147081403,2026-09-23
Woodstock,IL,1783349,19,15,0.7894736842105263,26084.0,82287.0,2.181413893574605,22.469713234166537,2026-09-22
Woodstock,VA,5187712,10,13,1.3,5798.0,64470.0,4.553294239392894,18.851328044153156,2026-09-22
Woonsocket,RI,4480780,15,20,1.3333333333333333,43029.0,54398.0,6.2585698017616025,24.093053522043274,2026-09-23
Worthington,OH,3986604,14,23,1.6428571428571428,14997.0,119408.0,3.847436153897446,1.4202840568113624,2026-09-22
Wright City,MO,2981124,2,2,1.0,4828.0,74904.0,7.60149130074565,10.542667771333885,2026-09-23
