city,state,geoid,portal_cameras,osm_flock_in_limits,ratio,population,median_income,pct_black,pct_hispanic,portal_updated
New London,WI,5556925,6,6,1.0,7342.0,53580.0,1.920457640969763,8.894034323072733,2026-09-23
New Market,VA,5155848,5,5,1.0,2162.0,47855.0,3.6077705827937097,5.550416281221092,2026-09-22
New Prague,MN,2745808,4,4,1.0,8155.0,101579.0,0.0,1.729000613120785,2026-09-23
Newark,OH,3954040,26,21,0.8076923076923077,50062.0,56284.0,3.2599576525108866,2.630737885022572,2026-09-23
Newburgh Heights,OH,3954250,12,3,0.25,1760.0,53661.0,15.397727272727273,7.613636363636363,2026-09-23
Newnan,GA,1355020,5,17,3.4,42689.0,74606.0,34.615474712455196,8.393262901450022,2026-09-23
Newport Beach,CA,0651182,82,82,1.0,85159.0,149471.0,0.6493735248182811,10.465129933418664,2026-09-23
Newport News,VA,5156000,153,111,0.7254901960784313,185118.0,63355.0,40.562235979213256,9.880184530947828,2026-09-22
Newport,RI,4449960,6,8,1.3333333333333333,25087.0,81330.0,7.127197353210827,9.618527524215729,2026-09-22
Newton,IA,1956505,11,13,1.1818181818181819,15692.0,53873.0,2.2113178689778232,4.1741014529696665,2026-09-22
Newton,KS,2050475,9,7,0.7777777777777778,18527.0,66528.0,2.2291790360015113,19.544448642521726,2026-09-23
Niles,IL,1753000,21,28,1.3333333333333333,30637.0,75783.0,2.026960864314391,12.040996181088227,2026-09-23
Nixa,MO,2952616,4,5,1.25,23523.0,74814.0,1.062789610168771,5.224673723589678,2026-09-22
Norfolk,VA,5157000,175,220,1.2571428571428571,236973.0,60998.0,40.05730610660286,8.730108493372663,2026-09-23
Normal,IL,1753234,56,34,0.6071428571428571,52920.0,63965.0,12.630385487528345,6.027966742252456,2026-09-22
Normandy Park,WA,5349415,2,4,2.0,6697.0,122467.0,1.2542929670001493,5.151560400179185,2026-09-22
North Canton,OH,3956294,5,5,1.0,17773.0,69132.0,3.584088223710122,1.8061103921678952,2026-09-23
North College Hill,OH,3956322,12,11,0.9166666666666666,9602.0,51971.0,60.33118100395751,0.45823786711101855,2026-09-22
North Liberty,IA,1957360,12,9,0.75,20393.0,100197.0,4.398568136125141,6.40415828960918,2026-09-23
North Olmsted,OH,3956882,26,41,1.5769230769230769,32244.0,81768.0,2.1678451804986976,6.928420791465078,2026-09-23
North Platte,NE,3135000,27,26,0.9629629629629629,23309.0,56890.0,1.5315972371187094,11.163070058775581,2026-09-23
Northglenn,CO,0854330,10,34,3.4,37948.0,77797.0,2.703699799725941,33.163803098977546,2026-09-22
Northlake,TX,4852212,43,35,0.813953488372093,6202.0,105962.0,17.510480490164465,22.686230248306998,2026-09-22
Norton,KS,2051500,4,0,0.0,2729.0,52822.0,0.21986075485525833,5.3865884939538295,2026-09-23
Norton,OH,3957260,10,11,1.1,11643.0,81034.0,2.696899424546938,1.6232929657304818,2026-09-23
Norwalk,CT,0955990,11,16,1.4545454545454546,91050.0,97879.0,17.30258099945085,30.75233388248215,2026-09-22
Norwalk,IA,1957675,5,5,1.0,13057.0,94176.0,0.9726583441831967,1.217737612008884,2026-09-22
Norwalk,OH,3957302,8,7,0.875,17041.0,58311.0,1.003462238131565,8.456076521330909,2026-09-22
Norwich,CT,0956200,28,28,1.0,40054.0,62713.0,9.831727168322764,15.032206521196384,2026-09-23
Novato,CA,0652582,6,6,1.0,53055.0,110948.0,3.40589953821506,22.291961172368296,2026-09-22
Oak Lawn,IL,1754820,50,35,0.7,57665.0,77221.0,7.966704240006937,20.832393999826586,2026-09-23
Oak Point,TX,4853130,19,3,0.15789473684210525,4957.0,104120.0,3.772443009885011,27.052652814202137,2026-09-23
Oakboro,NC,3748040,9,0,0.0,2379.0,78453.0,10.92896174863388,8.07061790668348,2026-09-23
Oakland,CA,0653000,293,523,1.7849829351535835,437825.0,94389.0,21.343459144635414,26.620224975732313,2026-09-23
Oakley,CA,0653070,4,4,1.0,43525.0,120915.0,8.408960367604825,32.068925904652495,2026-09-22
Oberlin,OH,3957834,4,4,1.0,8194.0,67660.0,12.875274591164267,5.650475958018062,2026-09-22
Oceanside,CA,0653322,18,24,1.3333333333333333,173722.0,86701.0,4.023094369164527,37.704493385984506,2026-09-22
Ocoee,FL,1251075,16,20,1.25,47290.0,88828.0,20.799323324170015,29.843518714315923,2026-09-23
Odessa,MO,2954038,1,2,2.0,5554.0,86125.0,0.7021966150522146,1.7104789341015485,2026-09-22
Odessa,TX,4853388,51,53,1.0392156862745099,113353.0,71293.0,6.019249600804566,61.98512611046907,2026-09-22
Ogden,UT,4955980,41,64,1.5609756097560976,86754.0,66226.0,1.6218272356317864,29.6366738133112,2026-09-22
Chillicothe,OH,3914184,11,14,1.2727272727272727,22002.0,50839.0,8.076538496500318,1.127170257249341,2026-09-23
