analysis,attribute,scheme,per,q1,q2,q3,q4,q4_over_q1,lo,hi
tract:op=transport:road,hispanic,county x density,road,1.0,1.086,1.3267,0.9129,0.9129,0.4885,1.8093
tract:op=municipal:road,income,national,road,0.0043,0.0044,0.0099,0.0168,3.9338,1.3871,9.6812
tract:op=municipal:road,income,within county,road,1.0,0.7152,0.9428,1.1475,1.1475,0.3837,2.4942
tract:op=municipal:road,income,county x density,road,1.0,1.1639,0.9516,1.4654,1.4654,0.4941,2.9804
tract:op=municipal:road,black,national,road,0.0058,0.0115,0.008,0.0051,0.8857,0.3974,2.2708
tract:op=municipal:road,black,within county,road,1.0,1.089,1.2044,1.7392,1.7392,0.766,3.7006
tract:op=municipal:road,black,county x density,road,1.0,1.0261,1.0145,0.9242,0.9242,0.4685,2.0777
tract:op=municipal:road,hispanic,national,road,0.0058,0.0072,0.006,0.0135,2.3471,0.7986,7.7756
tract:op=municipal:road,hispanic,within county,road,1.0,0.7073,0.9836,1.1678,1.1678,0.4246,2.9441
tract:op=municipal:road,hispanic,county x density,road,1.0,0.6484,0.6313,0.7302,0.7302,0.2566,2.0006
tract:entrance-or-HOA:road,income,national,road,0.0047,0.0055,0.0098,0.0191,4.0925,2.7318,6.4378
tract:entrance-or-HOA:road,income,within county,road,1.0,1.3286,0.9812,1.0295,1.0295,0.6976,1.5446
tract:entrance-or-HOA:road,income,county x density,road,1.0,1.3302,1.1904,1.3705,1.3705,0.9457,1.9904
tract:entrance-or-HOA:road,black,national,road,0.0033,0.009,0.0172,0.013,3.9761,2.7626,5.6072
tract:entrance-or-HOA:road,black,within county,road,1.0,1.4895,1.689,1.2692,1.2692,0.9338,1.7797
tract:entrance-or-HOA:road,black,county x density,road,1.0,1.2967,1.3271,1.0952,1.0952,0.8175,1.4749
tract:entrance-or-HOA:road,hispanic,national,road,0.0031,0.009,0.0145,0.0134,4.2761,2.6333,6.7534
tract:entrance-or-HOA:road,hispanic,within county,road,1.0,1.2899,1.2014,1.4026,1.4026,0.9935,2.004
tract:entrance-or-HOA:road,hispanic,county x density,road,1.0,1.2406,1.1437,1.2098,1.2098,0.8607,1.7626
tract:vendor=flock:road,income,national,road,0.9704,0.7365,1.0431,1.7739,1.828,1.5937,2.0704
tract:vendor=flock:road,income,within county,road,1.0,0.766,0.6607,0.6319,0.6319,0.5761,0.6865
tract:vendor=flock:road,income,county x density,road,1.0,0.8687,0.8187,0.7931,0.7931,0.7411,0.8445
tract:vendor=flock:road,black,national,road,0.4277,1.0249,1.726,2.0394,4.7683,4.1671,5.422
tract:vendor=flock:road,black,within county,road,1.0,1.3113,1.5159,1.8117,1.8117,1.653,1.997
tract:vendor=flock:road,black,county x density,road,1.0,1.1488,1.2349,1.4229,1.4229,1.3192,1.5316
tract:vendor=flock:road,hispanic,national,road,0.5719,0.9564,1.5015,1.7407,3.0439,2.4971,3.6808
tract:vendor=flock:road,hispanic,within county,road,1.0,1.1733,1.3019,1.5136,1.5136,1.3956,1.6502
tract:vendor=flock:road,hispanic,county x density,road,1.0,1.0703,1.1445,1.2435,1.2435,1.1579,1.3386
tract:vendor=other:road,income,national,road,0.1853,0.1115,0.1719,0.352,1.8994,1.4823,2.3695
tract:vendor=other:road,income,within county,road,1.0,0.6092,0.528,0.5625,0.5625,0.4494,0.6799
tract:vendor=other:road,income,county x density,road,1.0,0.7521,0.7145,0.7608,0.7608,0.6321,0.9032
tract:vendor=other:road,black,national,road,0.0748,0.1892,0.3213,0.3422,4.5715,3.6789,5.7294
tract:vendor=other:road,black,within county,road,1.0,1.344,1.5974,2.0984,2.0984,1.8198,2.4647
tract:vendor=other:road,black,county x density,road,1.0,1.0811,1.242,1.4392,1.4392,1.2701,1.6475
tract:vendor=other:road,hispanic,national,road,0.0921,0.1712,0.2829,0.315,3.4206,2.3501,4.8516
tract:vendor=other:road,hispanic,within county,road,1.0,1.1682,1.254,1.5154,1.5154,1.2952,1.7615
tract:vendor=other:road,hispanic,county x density,road,1.0,0.9793,1.0306,1.0993,1.0993,0.9662,1.2501
tract:vendor=untagged:road,income,national,road,0.0522,0.0332,0.0559,0.1459,2.7975,2.2044,3.5261
tract:vendor=untagged:road,income,within county,road,1.0,0.7296,0.6551,0.7361,0.7361,0.5842,0.9107
tract:vendor=untagged:road,income,county x density,road,1.0,0.7948,0.7312,0.9119,0.9119,0.7223,1.1215
tract:vendor=untagged:road,black,national,road,0.0287,0.0715,0.1023,0.0908,3.1649,2.2968,4.2207
tract:vendor=untagged:road,black,within county,road,1.0,1.3401,1.3827,1.4035,1.4035,1.1253,1.7456
tract:vendor=untagged:road,black,county x density,road,1.0,1.0083,1.0219,1.0976,1.0976,0.8843,1.3438
tract:vendor=untagged:road,hispanic,national,road,0.0365,0.0604,0.0848,0.0901,2.4688,1.7214,3.4513
tract:vendor=untagged:road,hispanic,within county,road,1.0,1.0184,1.0696,1.1843,1.1843,0.9553,1.5288
tract:vendor=untagged:road,hispanic,county x density,road,1.0,0.978,0.9113,0.9924,0.9924,0.8037,1.2794
tract:edge:arterial,black,within county,edge/interior,2.1494,1.8381,1.77,1.595,0.7421,0.6918,0.7904
tract:edge:residential,black,within county,edge/interior,3.0078,2.2233,2.2417,2.0401,0.6783,0.5805,0.7999
tract:edge:all roads,black,within county,edge/interior,4.4774,3.6647,3.5303,3.2078,0.7164,0.6763,0.759
tract:edge:arterial,black,county x density,edge/interior,1.7483,1.5699,1.5821,1.4433,0.8255,0.7794,0.8747
tract:edge:residential,black,county x density,edge/interior,2.5986,2.2941,2.0792,1.9781,0.7612,0.6523,0.9011
tract:edge:all roads,black,county x density,edge/interior,3.8824,3.3869,3.3382,3.0236,0.7788,0.7358,0.8245
tract:edge:arterial,hispanic,within county,edge/interior,1.9777,1.8257,1.8626,1.7508,0.8853,0.8139,0.9558
tract:edge:residential,hispanic,within county,edge/interior,2.8271,2.5161,2.2516,1.9163,0.6778,0.6015,0.7691
tract:edge:all roads,hispanic,within county,edge/interior,4.0595,3.7555,3.711,3.3891,0.8349,0.7733,0.8951
tract:edge:arterial,hispanic,county x density,edge/interior,1.6651,1.6008,1.5491,1.5203,0.913,0.8513,0.9754
tract:edge:residential,hispanic,county x density,edge/interior,2.6177,2.2942,2.1483,1.8805,0.7184,0.6366,0.8021
tract:edge:all roads,hispanic,county x density,edge/interior,3.6662,3.4321,3.3094,3.1859,0.869,0.8064,0.9305
tract:edge:arterial,income,within county,edge/interior,1.7582,1.8437,1.9258,1.8742,1.066,0.9979,1.1463
tract:edge:residential,income,within county,edge/interior,1.7347,2.2711,2.3885,3.1082,1.7918,1.5697,2.0436
tract:edge:all roads,income,within county,edge/interior,3.2323,3.6261,3.8957,4.1804,1.2933,1.2107,1.3946
tract:edge:arterial,income,county x density,edge/interior,1.5134,1.5622,1.6001,1.6989,1.1226,1.0553,1.1981
tract:edge:residential,income,county x density,edge/interior,1.6133,2.1288,2.3128,3.0344,1.8809,1.6361,2.1408
tract:edge:all roads,income,county x density,edge/interior,2.9597,3.3268,3.5294,3.9893,1.3478,1.2629,1.4485
tract:seam,black,0-10,rr,,,,,0.9792,0.9705,0.9872
tract:seam,black,10-20,rr,,,,,1.0599,1.028,1.0942
tract:seam,black,20-30,rr,,,,,1.0836,1.026,1.1461
tract:seam,black,30-50,rr,,,,,1.0869,1.0193,1.1694
tract:seam,black,50-101,rr,,,,,0.9786,0.8691,1.1082
tract:facing,black,>=30,share into higher-Black,,,,,0.4977,521,467
tract:seam,hispanic,0-10,rr,,,,,0.9962,0.9864,1.0062
tract:seam,hispanic,10-20,rr,,,,,1.0422,1.0147,1.0706
tract:seam,hispanic,20-30,rr,,,,,0.9738,0.915,1.0395
tract:seam,hispanic,30-50,rr,,,,,0.9367,0.8658,1.0245
tract:seam,hispanic,50-101,rr,,,,,0.8927,0.7732,1.0321
tract:facing,hispanic,>=30,share into higher-Hispanic,,,,,0.4981,366,406
tract:seam,income,0-0.25,rr,,,,,0.9743,0.9587,0.9896
tract:seam,income,0.25-0.5,rr,,,,,0.9902,0.9705,1.0087
tract:seam,income,0.5-1.0,rr,,,,,1.026,1.0038,1.0473
tract:seam,income,1.0-1.5,rr,,,,,1.0679,1.0143,1.1228
tract:seam,income,1.5-99,rr,,,,,1.1701,1.0423,1.304
tract:facing,income,>=1.0,share into richer,,,,,0.4979,735,770
