analysis,attribute,scheme,per,q1,q2,q3,q4,q4_over_q1,lo,hi
tract:all:road,income,national,road,1.2079,0.8812,1.2709,2.2719,1.8808,1.6497,2.1191
tract:all:road,income,within county,road,1.0,0.7392,0.6389,0.6252,0.6252,0.565,0.6834
tract:all:road,income,county x density,road,1.0,0.8471,0.7983,0.7937,0.7937,0.7334,0.8517
tract:all:road,black,national,road,0.5312,1.2855,2.1495,2.4724,4.654,4.1213,5.2319
tract:all:road,black,within county,road,1.0,1.3173,1.5205,1.831,1.831,1.6779,2.0096
tract:all:road,black,county x density,road,1.0,1.1311,1.2243,1.4072,1.4072,1.3146,1.5088
tract:all:road,hispanic,national,road,0.7005,1.188,1.8692,2.1458,3.0635,2.5212,3.6542
tract:all:road,hispanic,within county,road,1.0,1.1641,1.2821,1.4958,1.4958,1.3739,1.6365
tract:all:road,hispanic,county x density,road,1.0,1.051,1.1139,1.2072,1.2072,1.1192,1.302
tract:all:people,income,national,people,4.6289,4.0841,4.0356,4.1961,0.9065,0.8137,0.9976
tract:all:people,income,within county,people,1.0,0.8707,0.8219,0.8344,0.8344,0.7612,0.9128
tract:all:people,income,county x density,people,1.0,0.8203,0.759,0.7445,0.7445,0.6824,0.8066
tract:all:people,black,national,people,3.2911,3.9572,4.5826,5.1783,1.5734,1.4294,1.7236
tract:all:people,black,within county,people,1.0,1.0792,1.0802,1.1855,1.1855,1.1145,1.2626
tract:all:people,black,county x density,people,1.0,1.0873,1.1366,1.2893,1.2893,1.2089,1.3774
tract:all:people,hispanic,national,people,3.7977,4.2777,4.5142,4.4195,1.1637,1.0246,1.3321
tract:all:people,hispanic,within county,people,1.0,0.9863,0.9924,1.0096,1.0096,0.9361,1.087
tract:all:people,hispanic,county x density,people,1.0,0.9977,1.0332,1.1115,1.1115,1.0331,1.1936
tract:arterial:road,income,national,road,4.7182,3.4327,4.798,9.6152,2.0379,1.7937,2.3085
tract:arterial:road,income,within county,road,1.0,0.7443,0.6553,0.6559,0.6559,0.5934,0.7209
tract:arterial:road,income,county x density,road,1.0,0.8756,0.8431,0.8689,0.8689,0.8064,0.9346
