state,h_tract,w_tract,workers,flow_share,h_lat,h_lon,w_lat,w_lon,median_income,pop_total,nh_white,nh_black,hispanic,base_km,base_min,base_cameras,avoid_km,avoid_min,avoid_cameras,extra_km,extra_min,cameras_evaded
de,10005051009,10003016309,2,0.0000059344,38.7380906,-75.1102598,39.657883,-75.6071747,157279.0,2477.0,2289.0,0.0,43.0,134.7683,98.3893,2,135.6433,100.0298,0,0.875,1.6405,2
mn,27053026723,27003050217,1,0.0000004012,45.0734515,-93.4816522,45.281561,-93.308973,198630.0,4454.0,3656.0,220.0,88.0,35.4062,31.7322,1,39.8909,34.6403,0,4.4847,2.9081,1
mi,26049010700,26125166100,2,0.0000005271,43.0825923,-83.8874727,42.5208083,-83.3695526,92690.0,5253.0,4996.0,100.0,21.0,91.0592,73.956,14,96.8815,86.5462,1,5.8223,12.5902,13
wi,55127000501,55087013300,2,0.0000007916,42.8391106,-88.7533991,44.3213504,-88.2463873,32708.0,4241.0,3595.0,93.0,309.0,196.2615,144.8476,6,201.3442,167.6996,1,5.0827,22.852,5
ct,09190205300,09170150100,10,0.0000070969,41.4452767,-73.3966379,41.2216629,-73.0630354,129030.0,6067.0,4584.0,277.0,582.0,49.2804,48.531,3,50.6724,52.2054,0,1.392,3.6745,3
ia,19153010804,19153011028,30,0.0000236861,41.5683143,-93.474351,41.5317761,-93.7383557,107031.0,5643.0,5072.0,8.0,477.0,33.7552,26.5236,1,29.8142,34.414,0,-3.941,7.8904,1
mn,27053020903,27003050208,3,0.0000012036,45.0391293,-93.3594938,45.21584,-93.3102689,93083.0,2915.0,2319.0,97.0,171.0,26.0006,25.128,3,28.1048,28.2266,0,2.1042,3.0986,3
de,10003016612,10003013800,334,0.0009910479,39.4805903,-75.6911324,39.68635,-75.6565579,162532.0,6655.0,4351.0,1229.0,575.0,29.0301,23.2796,1,31.3718,25.5493,0,2.3417,2.2697,1
sc,45019004701,45015020407,45,0.0000233283,32.7801651,-79.8675218,32.8604656,-79.927373,109521.0,6617.0,5891.0,562.0,0.0,17.4129,15.8481,2,30.8148,30.7709,1,13.4019,14.9228,1
al,01073005910,01073011117,9,0.0000050167,33.6294784,-86.7180087,33.668766,-86.6125326,56786.0,5435.0,336.0,5066.0,20.0,17.84,23.2583,9,23.9248,30.5951,0,6.0848,7.3368,9
ne,31153010108,31109002900,5,0.0000062512,41.1646256,-95.9326982,40.8696972,-96.6482338,81050.0,4001.0,2347.0,612.0,803.0,78.7239,55.372,4,80.2467,61.5834,0,1.5228,6.2114,4
nm,35001001300,35061970401,5,0.0000069777,35.0537235,-106.6398078,34.8082782,-106.7253558,39063.0,4089.0,390.0,166.0,3091.0,32.1557,29.0846,2,32.1349,30.5599,0,-0.0208,1.4753,2
nv,32003005717,32003002962,104,0.0000779219,35.95108,-115.1250983,36.0821955,-115.199468,93229.0,6741.0,3886.0,438.0,916.0,21.4312,19.0987,2,21.804,20.0573,0,0.3728,0.9586,2
or,41071030702,41003000600,4,0.0000023800,45.2007768,-123.2177064,44.610372,-123.1979735,67474.0,7480.0,5414.0,38.0,1342.0,71.2772,62.7771,1,72.6357,65.5551,0,1.3585,2.778,1
ct,09190211000,09160262100,1,0.0000007097,41.435557,-73.4825734,41.8607627,-73.4492152,108654.0,4418.0,2352.0,304.0,1137.0,63.6813,62.6454,3,63.2077,63.8618,0,-0.4736,1.2164,3
ia,19051080200,19049050815,2,0.0000015791,40.7510406,-92.52631,41.5593498,-93.8187986,76363.0,5026.0,4899.0,0.0,83.0,168.1077,156.4726,12,185.0025,171.6105,0,16.8948,15.1379,12
ut,49035113511,49035102501,20,0.0000133999,40.6754034,-111.9332029,40.7680562,-111.9032949,84394.0,3656.0,2128.0,0.0,1027.0,13.7772,13.5545,2,13.5581,15.3215,0,-0.2191,1.767,2
mn,27003050215,27053980100,7,0.0000028083,45.2314582,-93.2395354,44.8950029,-93.1957141,127827.0,4331.0,3576.0,0.0,175.0,41.0976,37.5102,4,40.8889,39.4433,0,-0.2087,1.9331,4
ky,21111012109,21111004900,173,0.0001073781,38.099117,-85.8487808,38.2576973,-85.7564281,66500.0,5092.0,4095.0,782.0,143.0,21.7713,23.262,6,23.3941,25.6813,0,1.6228,2.4193,6
al,01055010504,01095030801,12,0.0000066890,33.8958315,-86.0445337,34.2969261,-86.172223,81068.0,4749.0,4292.0,87.0,110.0,56.4322,48.5251,8,64.2095,66.1645,0,7.7773,17.6394,8
mn,27053026406,27053026019,37,0.0000148440,44.947859,-93.4050536,44.8542398,-93.441107,76779.0,3644.0,2734.0,171.0,139.0,12.3113,10.3248,1,12.3366,10.4736,0,0.0253,0.1488,1
