state,h_tract,w_tract,workers,flow_share,h_lat,h_lon,w_lat,w_lon,median_income,pop_total,nh_white,nh_black,hispanic,base_km,base_min,base_cameras,avoid_km,avoid_min,avoid_cameras,extra_km,extra_min,cameras_evaded
ga,13151070210,13121009202,2,0.0000004773,33.4863691,-84.1578767,33.8084783,-84.3707161,133513.0,2457.0,772.0,1257.0,116.0,46.9227,46.0552,14,53.7414,48.1243,0,6.8187,2.0691,14
ga,13117130409,13117130613,9,0.0000021478,34.2253448,-84.1181123,34.1387345,-84.1829856,78750.0,3572.0,2376.0,240.0,862.0,14.0128,13.3275,13,20.022,26.2858,0,6.0092,12.9583,13
ga,13089023325,13063040410,11,0.0000026251,33.7861911,-84.0859872,33.6278956,-84.3099165,97232.0,4923.0,123.0,4461.0,271.0,39.8047,33.1614,1,39.7846,40.0629,0,-0.0201,6.9015,1
ga,13167960100,13151070128,1,0.0000002386,32.6622027,-82.5791774,33.6167883,-84.2465282,56316.0,2549.0,2250.0,133.0,62.0,221.7416,164.7312,45,242.4928,212.9949,0,20.7512,48.2638,45
ga,13081010201,13081010202,95,0.0000226713,31.8912845,-83.8548337,31.9977094,-83.8756608,51736.0,4118.0,1747.0,2286.0,16.0,14.9185,18.2843,0,14.9185,18.2843,0,0.0,0.0,0
ga,13103030309,13121011627,1,0.0000002386,32.3000993,-81.1753538,34.0259786,-84.1812816,67253.0,4513.0,3622.0,408.0,398.0,384.1006,303.143,30,393.5119,345.6232,4,9.4113,42.4802,26
ga,13063040633,13121009202,2,0.0000004773,33.5646875,-84.3018178,33.8084783,-84.3707161,46057.0,2913.0,341.0,2390.0,148.0,30.6649,33.736,8,33.2401,38.1084,0,2.5752,4.3724,8
ga,13091960301,13023790301,23,0.0000054889,32.1710135,-83.1738457,32.3878195,-83.3386452,43241.0,3406.0,2279.0,686.0,376.0,32.259,26.0508,1,32.4677,26.6417,0,0.2088,0.5909,1
ga,13135050235,13135050229,24,0.0000057275,34.0253521,-84.1210811,33.9512944,-84.1428583,111830.0,5574.0,1689.0,1411.0,514.0,11.4405,12.6989,6,12.404,17.1464,0,0.9634,4.4475,6
ga,13089022010,13135050437,5,0.0000011932,33.813197,-84.229764,33.913775,-84.1945155,84583.0,2284.0,477.0,970.0,73.0,14.3901,16.4829,14,22.4571,30.6029,0,8.0671,14.1199,14
ga,13135050616,13121009104,4,0.0000009546,34.0935008,-83.8883296,33.8134419,-84.3965178,152180.0,3846.0,2646.0,354.0,590.0,61.0132,43.0044,11,68.099,66.5747,1,7.0858,23.5702,10
