date,state,cameras,per_100k
2025-07-01,mn,217,3.81
2025-07-01,mo,364,5.91
2025-07-01,ms,76,2.57
2025-07-01,mt,1,0.09
2025-07-01,nc,210,2.01
2025-07-01,nd,18,2.32
2025-07-01,ne,44,2.25
2025-07-01,nh,52,3.77
2025-07-01,nj,63,0.68
2025-07-01,nm,80,3.79
2025-07-01,nv,7,0.23
2025-07-01,ny,429,2.15
2025-07-01,oh,1085,9.21
2025-07-01,ok,525,13.22
2025-07-01,or,154,3.64
2025-07-01,pa,53,0.41
2025-07-01,ri,48,4.39
2025-07-01,sc,120,2.33
2025-07-01,sd,18,2.02
2025-07-01,tn,311,4.49
2025-07-01,tx,1925,6.58
2025-07-01,ut,133,4.05
2025-07-01,va,1112,12.89
2025-07-01,vt,0,0.0
2025-07-01,wa,446,5.8
2025-07-01,wi,946,16.08
2025-07-01,wv,6,0.33
2025-07-01,wy,26,4.5
2026-01-01,ak,0,0.0
2026-01-01,al,1386,27.57
2026-01-01,ar,326,10.8
2026-01-01,az,1416,19.74
2026-01-01,ca,10541,26.78
2026-01-01,co,1599,27.71
2026-01-01,ct,548,15.17
2026-01-01,dc,48,7.16
2026-01-01,de,142,14.29
2026-01-01,fl,3877,17.92
2026-01-01,ga,3996,37.27
2026-01-01,hi,52,3.58
2026-01-01,ia,530,16.62
2026-01-01,id,144,7.77
2026-01-01,il,3921,30.73
2026-01-01,in,1856,27.36
2026-01-01,ks,910,31.0
2026-01-01,ky,852,18.92
2026-01-01,la,821,17.69
2026-01-01,ma,514,7.36
2026-01-01,md,440,7.14
2026-01-01,me,24,1.76
2026-01-01,mi,2813,27.97
2026-01-01,mn,789,13.85
2026-01-01,mo,1297,21.07
2026-01-01,ms,207,7.0
2026-01-01,mt,23,2.11
2026-01-01,nc,1253,11.97
2026-01-01,nd,74,9.53
2026-01-01,ne,152,7.76
2026-01-01,nh,53,3.84
2026-01-01,nj,654,7.07
2026-01-01,nm,558,26.41
2026-01-01,nv,458,14.75
2026-01-01,ny,1849,9.25
2026-01-01,oh,3384,28.74
2026-01-01,ok,705,17.76
2026-01-01,or,331,7.83
2026-01-01,pa,579,4.46
2026-01-01,ri,140,12.79
2026-01-01,sc,677,13.16
2026-01-01,sd,59,6.63
2026-01-01,tn,1358,19.61
2026-01-01,tx,7005,23.95
2026-01-01,ut,455,13.86
2026-01-01,va,1887,21.88
2026-01-01,vt,5,0.78
2026-01-01,wa,1266,16.47
2026-01-01,wi,1449,24.63
2026-01-01,wv,49,2.73
2026-01-01,wy,50,8.65
2026-07-24,ak,0,0.0
2026-07-24,al,2333,46.4
2026-07-24,ar,1031,34.15
2026-07-24,az,2380,33.18
2026-07-24,ca,18312,46.53
2026-07-24,co,2454,42.52
2026-07-24,ct,882,24.42
