state,h_tract,w_tract,workers,flow_share,h_lat,h_lon,w_lat,w_lon,median_income,pop_total,nh_white,nh_black,hispanic,base_km,base_min,base_cameras,avoid_km,avoid_min,avoid_cameras,extra_km,extra_min,cameras_evaded
pa,42101026600,42101000500,102,0.0000197718,40.0634823,-75.1473352,39.9519533,-75.1581771,39788.0,7060.0,54.0,6625.0,1.0,13.3742,14.1118,1,13.7723,15.1049,0,0.3981,0.9931,1
az,04013610301,04013610002,46,0.0000159843,33.8474408,-112.1404193,33.8955266,-112.1907307,110588.0,3236.0,2381.0,25.0,533.0,13.4879,20.3271,0,13.4879,20.3271,0,0.0,0.0,0
fl,12071010306,12071010303,50,0.0000056819,26.643388,-81.9698788,26.6213875,-81.9503348,57415.0,6683.0,3075.0,425.0,2901.0,7.2202,10.567,0,7.2202,10.567,0,0.0,0.0,0
co,08035014505,08007974400,1,0.0000003937,39.3467248,-104.8394936,37.2103231,-106.8032202,108350.0,6200.0,4976.0,23.0,492.0,457.4958,401.8983,6,463.0095,413.9094,3,5.5137,12.0111,3
tn,47165021203,47165020700,259,0.0000941975,36.3215684,-86.5178948,36.3948947,-86.4254683,101280.0,8670.0,7162.0,285.0,538.0,13.5279,17.7083,0,13.5279,17.7083,0,0.0,0.0,0
wa,53033032104,53033004102,16,0.0000050203,47.5049542,-122.0533488,47.6737465,-122.25175,127713.0,6370.0,4453.0,120.0,823.0,40.514,45.4245,4,43.3802,46.6252,0,2.8662,1.2007,4
pa,42045410304,42045407502,7,0.0000013569,39.8543603,-75.5217972,39.916844,-75.3890162,137974.0,4276.0,3257.0,1.0,123.0,16.2163,20.5849,0,16.2163,20.5849,0,0.0,0.0,0
co,08041005112,08069001813,1,0.0000003937,38.902557,-104.7146373,40.4717875,-105.0958762,75450.0,3843.0,2194.0,221.0,1170.0,200.6093,128.8684,9,204.8711,158.7543,0,4.2618,29.8859,9
tx,48489950300,48061012900,1,0.0000000809,26.4850522,-97.8235686,25.9393401,-97.5152496,37438.0,5825.0,324.0,2.0,5499.0,76.5421,53.3635,1,76.5449,53.7502,0,0.0028,0.3868,1
az,04013010103,04013619500,6,0.0000020849,33.7535864,-111.7538552,33.6478148,-112.0221949,128446.0,3449.0,3299.0,10.0,119.0,35.4098,37.846,0,35.4098,37.846,0,0.0,0.0,0
mo,29189216800,29189217600,14,0.0000058532,38.6271378,-90.3148979,38.6167234,-90.4244387,78106.0,3272.0,2836.0,214.0,32.0,11.9386,11.5651,2,12.5182,11.6465,0,0.5796,0.0814,2
fl,12095014812,12095015203,30,0.0000034091,28.4805056,-81.4670317,28.6329319,-81.3951196,58284.0,6093.0,2624.0,475.0,2194.0,23.0803,23.5322,3,25.2036,21.2993,0,2.1234,-2.2329,3
fl,12069030308,12071001203,1,0.0000001136,28.8303344,-81.7645027,26.6154568,-81.8488876,54951.0,4726.0,3558.0,335.0,551.0,272.2027,216.0781,29,297.1474,260.0627,2,24.9447,43.9845,27
tn,47187050905,47187050801,110,0.0000400067,35.9291331,-86.8307362,35.915738,-86.8831697,107188.0,6226.0,5488.0,117.0,105.0,5.9809,6.5503,0,5.9809,6.5503,0,0.0,0.0,0
az,04013614200,04019001200,1,0.0000003475,33.6834538,-112.1965221,32.2430038,-110.9956637,119348.0,4518.0,3547.0,277.0,401.0,212.1802,138.8238,9,230.3846,166.3553,0,18.2044,27.5315,9
pa,42079216900,42093050300,3,0.0000005815,40.9734632,-75.9409371,40.9616757,-76.6120395,73259.0,5274.0,4934.0,0.0,161.0,70.6568,57.7399,13,73.2407,64.8494,0,2.584,7.1094,13
wa,53061052010,53033008102,37,0.0000116094,47.8566944,-122.1791458,47.605282,-122.336012,135035.0,3848.0,1506.0,34.0,252.0,37.1561,32.3961,6,36.9188,41.2747,0,-0.2373,8.8786,6
oh,39165030501,39113040101,2,0.0000004130,39.5646039,-84.2693802,39.6652952,-84.1702064,52134.0,3662.0,3382.0,46.0,46.0,17.7739,16.2403,4,18.3217,17.6607,0,0.5478,1.4204,4
ny,36111953300,36111953500,160,0.0000197709,41.7496121,-74.0926333,41.7367894,-74.0875348,129531.0,4679.0,3944.0,99.0,433.0,1.9536,3.2952,0,1.9536,3.2952,0,0.0,0.0,0
