state,h_tract,w_tract,base_r30,base_r45,base_r60,base_r90,avoid_r30,avoid_r45,avoid_r60,avoid_r90
az,04013061053,04013061027,2,3,3,3,0,0,0,0
az,04013061053,04013105501,1,2,2,2,0,0,0,1
az,04013061053,04013114100,1,2,2,2,0,0,0,1
az,04013061055,04013092720,1,1,1,1,0,0,0,0
az,04013061055,04021001405,5,5,5,5,0,0,0,1
az,04013061056,04013113100,0,0,1,1,0,0,0,0
az,04013061064,04013061024,2,4,2,2,0,0,0,1
az,04013061300,04013981000,2,1,1,1,0,0,0,1
az,04013071503,04013114100,1,1,1,1,0,0,0,0
az,04013071504,04013216816,5,7,8,9,0,0,0,3
az,04013071506,04013092720,0,0,0,0,0,0,0,0
az,04013071512,04013105501,2,2,2,2,0,0,0,0
az,04013071513,04013114900,1,1,1,1,0,0,0,0
az,04013071514,04013071801,0,0,0,0,0,0,0,0
az,04013071515,04013071516,0,0,0,0,0,0,0,0
az,04013071515,04013111800,3,3,3,4,0,0,0,0
az,04013071516,04013108502,5,5,5,6,0,0,0,2
az,04013071516,04013619800,5,6,6,7,1,1,1,2
az,04013071910,04013114100,1,1,1,1,0,0,0,0
az,04013071911,04013111700,1,1,1,1,0,0,0,0
az,04013071913,04013104216,3,3,3,3,0,0,0,1
az,04013071914,04013216860,3,5,5,5,0,0,0,0
az,04013082007,04013093104,0,0,0,1,0,0,0,1
az,04013082009,04013107602,2,2,2,2,0,0,0,2
az,04013082010,04013216852,5,6,7,7,0,0,0,0
az,04013082016,04013104224,1,2,2,3,0,0,0,2
az,04013082018,04013106502,0,0,1,1,0,0,0,0
az,04013082018,04013113100,0,0,0,0,0,0,0,0
az,04013082018,04013617700,0,1,1,1,0,0,0,0
az,04013082018,04013811100,1,1,1,1,1,1,1,3
az,04013082019,04013104402,4,6,6,7,0,0,0,0
az,04013082020,04013082017,0,0,0,0,0,0,0,0
az,04013082022,04013082027,3,3,4,4,1,1,1,1
az,04013082023,04013616700,0,0,0,1,0,0,0,1
az,04013082023,04013618500,3,4,4,5,0,0,0,2
az,04013082025,04013061010,4,5,5,5,1,1,1,3
az,04013082205,04013112512,0,0,0,0,0,0,0,0
az,04013082207,04013114100,0,0,0,0,0,0,0,0
az,04013082208,04013216860,0,1,1,1,0,0,0,1
az,04013082209,04013110501,0,0,0,0,0,0,0,0
az,04013082210,04013082027,1,2,3,3,0,0,0,0
az,04013082210,04013107602,0,0,0,0,0,0,0,0
az,04013082211,04013082209,0,0,0,0,0,0,0,0
az,04013082211,04013111402,0,0,0,0,0,0,0,0
az,04013082211,04013116703,0,0,0,0,0,0,0,0
az,04013082212,04013117100,1,1,1,1,0,0,0,0
az,04013082213,04013082027,1,2,3,3,0,0,0,0
az,04013083000,04013061018,3,3,3,3,0,0,0,1
az,04013092305,04013061028,3,3,3,3,0,0,0,1
az,04013092306,04013114100,0,1,1,1,0,0,0,0
az,04013092307,04013117200,0,0,0,0,0,0,0,0
az,04013092308,04013110600,1,1,1,1,0,0,0,1
az,04013092309,04013422307,0,0,0,0,0,0,0,0
az,04013092309,04013614800,1,2,2,2,0,0,0,1
az,04013092311,04013107602,1,2,2,2,0,0,0,1
az,04013092311,04013319705,1,2,2,2,0,0,0,1
az,04013092312,04013113800,1,1,1,1,0,0,0,0
az,04013092402,04013941300,4,5,6,6,0,0,0,0
az,04013092500,04013612301,2,2,2,2,0,0,0,1
az,04013092705,04013115200,0,0,0,0,0,0,0,0
az,04013092705,04013117300,0,0,0,0,0,0,0,0
az,04013092711,04013108501,2,2,2,2,0,0,0,2
az,04013092711,04013318400,0,0,0,0,0,0,0,0
az,04013092713,04013112510,0,0,0,0,0,0,0,0
az,04013092713,04013112512,0,0,0,0,0,0,0,0
az,04013092713,04013114100,0,0,0,1,0,0,0,1
az,04013092717,04013115200,0,0,0,0,0,0,0,0
az,04013092721,04013110501,2,2,2,2,0,0,0,0
az,04013092724,04013104215,3,5,5,6,0,0,0,2
az,04013092724,04013115600,1,1,1,1,0,0,0,1
az,04013092802,04013109003,2,2,2,2,0,0,0,0
az,04013093001,04013107800,0,0,0,0,0,0,0,0
az,04013093001,04013110502,2,2,2,2,0,0,0,0
az,04013093002,04013092900,0,0,0,0,0,0,0,0
az,04013093002,04013103217,0,0,0,0,0,0,0,0
az,04013093002,04013113800,0,0,0,0,0,0,0,0
az,04013093101,04013092720,0,1,1,1,0,0,0,1
az,04013093101,04013113100,0,0,0,0,0,0,0,0
az,04013093104,04013318700,1,2,2,3,0,0,0,0
az,04013093106,04013112514,0,0,0,0,0,0,0,0
az,04013093200,04013616400,8,8,9,9,0,0,0,1
az,04013103205,04013216858,4,5,5,5,0,0,0,0
az,04013103208,04013614900,0,0,0,1,0,0,0,1
az,04013103208,04013618400,1,1,1,1,0,0,0,0
az,04013103212,04013216816,0,0,0,0,0,0,0,0
az,04013103214,04013216842,1,1,1,1,1,1,1,1
az,04013103216,04013216816,0,0,0,0,0,0,0,0
az,04013103216,04013614800,0,0,0,0,0,0,0,0
az,04013103217,04013319001,13,18,19,20,1,1,1,1
az,04013103219,04013216855,3,4,5,5,0,0,0,0
az,04013103220,04013110502,0,0,0,0,0,0,0,0
az,04013103302,04013114100,0,0,0,0,0,0,0,0
az,04013103303,04013114100,0,0,0,0,0,0,0,0
az,04013103306,04013216845,2,3,3,3,0,0,0,0
az,04013103400,04013103702,0,0,0,0,0,0,0,0
az,04013103400,04013941300,5,5,4,4,0,0,0,0
az,04013103501,04013619900,0,0,0,0,0,0,0,0
az,04013103502,04013104100,1,1,1,1,0,0,0,0
az,04013103502,04021001407,3,3,3,4,0,0,0,1
az,04013103604,04013103609,0,0,0,0,0,0,0,0
az,04013103604,04013104224,0,0,1,1,0,0,0,0
az,04013103605,04013216816,2,2,3,3,0,0,0,0
az,04013103606,04013092308,2,2,2,2,0,0,0,0
az,04013103609,04013422218,0,0,0,0,0,0,0,0
az,04013103611,04013319401,0,0,1,1,0,0,0,0
az,04013103612,04013103215,0,0,0,0,0,0,0,0
az,04013103615,04013112507,1,1,1,1,0,0,0,0
az,04013103615,04013319710,2,2,3,3,0,0,0,0
az,04013103615,04013615002,0,0,0,0,0,0,0,0
az,04013103702,04013104219,1,1,1,1,0,0,0,0
az,04013103900,04013216810,3,4,6,6,0,0,0,0
az,04013104000,04013113800,0,0,0,0,0,0,0,0
az,04013104100,04013217300,3,3,3,3,0,0,0,0
az,04013104203,04013114100,0,2,2,2,0,0,0,0
az,04013104206,04013112516,0,0,0,0,0,0,0,0
az,04013104206,04013216816,3,3,3,3,0,0,0,1
az,04013104207,04013104402,0,0,0,0,0,0,0,0
az,04013104207,04013615900,7,7,7,7,0,0,0,0
az,04013104212,04013110502,0,0,0,0,0,0,0,0
az,04013104214,04013111800,0,0,0,0,0,0,0,0
az,04013104216,04013112512,2,3,3,3,0,0,0,1
az,04013104217,04013113100,0,0,0,0,0,0,0,0
az,04013104218,04013092402,0,0,0,0,0,0,0,0
az,04013104218,04013320100,0,0,0,0,0,0,0,0
az,04013104222,04013092720,2,3,3,3,0,0,0,2
